,Date,Beyonce Adidas,Price,Open,High,Low,Vol.,Change %
0,2019-01-06,36,196.43,189.46,198.15,189.25,-,3.17%
1,2019-01-13,31,203.1,195.0,205.0,195.0,-,3.40%
2,2019-01-20,30,203.95,203.5,208.29,200.2,-,0.42%
3,2019-01-27,33,199.07,203.5,207.4,197.66,-,-2.39%
4,2019-02-03,34,198.68,199.3,203.6,195.0,-,-0.20%
5,2019-02-10,39,198.32,198.3,202.68,194.85,-,-0.18%
6,2019-02-17,46,203.65,198.32,204.4,197.12,-,2.69%
7,2019-02-24,32,217.1,205.4,218.3,205.4,-,6.60%
8,2019-03-03,29,210.65,217.1,219.85,209.5,-,-2.97%
9,2019-03-10,27,213.15,212.25,215.5,197.5,-,1.19%
10,2019-03-17,27,209.1,212.2,214.4,206.4,-,-1.90%
11,2019-03-24,30,216.35,209.7,217.8,209.7,-,3.47%
12,2019-03-31,40,226.9,217.24,228.32,216.6,-,4.88%
13,2019-04-07,33,225.9,227.6,227.7,224.05,-,-0.44%
14,2019-04-14,100,231.12,225.17,232.1,224.45,-,2.31%
15,2019-04-21,84,228.25,231.1,232.34,227.45,-,-1.24%
16,2019-04-28,52,247.47,229.45,247.47,225.25,-,8.42%
17,2019-05-05,46,251.38,253.57,256.38,247.9,-,1.58%
18,2019-05-12,38,255.78,252.1,255.85,244.35,-,1.75%
19,2019-05-19,33,259.52,255.78,264.55,250.69,-,1.46%
20,2019-05-26,32,255.65,263.35,265.05,251.62,-,-1.49%
21,2019-06-02,49,265.88,255.65,266.25,254.75,-,4.00%
22,2019-06-09,34,260.82,267.25,268.35,254.5,-,-1.90%
23,2019-06-16,31,268.27,260.31,274.85,259.34,-,2.86%
24,2019-06-23,33,270.9,268.8,275.59,262.45,-,0.98%
25,2019-06-30,30,275.98,273.99,280.5,269.66,-,1.88%
26,2019-07-07,42,275.57,276.05,283.1,275.45,-,-0.15%
27,2019-07-14,78,278.85,277.35,283.09,178.9,-,1.19%
28,2019-07-21,64,288.6,279.0,289.0,278.8,-,3.50%
29,2019-07-28,47,279.73,288.6,296.4,279.0,-,-3.07%
30,2019-08-04,42,260.6,275.0,277.35,254.0,-,-6.84%
31,2019-08-11,36,257.65,261.3,263.95,253.2,-,-1.13%
32,2019-08-18,33,260.35,261.15,266.05,257.95,-,1.05%
33,2019-08-25,32,271.0,261.18,271.8,259.45,-,4.09%
34,2019-09-01,44,279.35,271.0,280.0,267.15,-,3.08%
35,2019-09-08,30,273.43,279.35,280.2,266.3,-,-2.12%
36,2019-09-15,36,275.55,271.45,277.0,266.9,-,0.78%
37,2019-09-22,30,285.65,273.9,285.7,269.2,-,3.67%
38,2019-09-29,29,270.7,285.1,288.95,265.85,-,-5.23%
39,2019-10-06,31,279.1,270.7,281.15,269.8,-,3.10%
40,2019-10-13,29,281.8,279.0,288.25,278.0,-,0.97%
41,2019-10-20,27,274.93,281.85,282.7,270.45,-,-2.44%
42,2019-10-27,29,280.2,275.15,280.9,271.55,-,1.92%
43,2019-11-03,27,270.93,281.05,287.2,266.5,-,-3.31%
44,2019-11-10,27,267.23,272.0,272.0,264.2,-,-1.37%
45,2019-11-17,28,273.5,271.2,276.25,267.95,-,2.35%
46,2019-11-24,26,283.73,275.25,286.65,273.85,-,3.74%
47,2019-12-01,27,279.57,283.6,288.25,274.1,-,-1.47%
48,2019-12-08,31,278.12,278.55,282.6,269.2,-,-0.52%
49,2019-12-15,30,291.3,280.0,292.0,278.6,-,4.74%
50,2019-12-22,30,292.15,291.3,294.9,290.7,-,0.29%
51,2019-12-29,33,290.05,291.52,293.2,288.7,-,-0.72%
