,Date,Google trends Adidas,Price,Open,High,Low,Vol.,Change %
0,2015-08-02,53,73.48,74.47,76.41,73.11,4.23,-1.33%
1,2015-08-09,54,68.89,73.78,74.26,68.3,4.71,-6.25%
2,2015-08-16,59,65.48,69.31,69.6,65.21,5.28,-4.95%
3,2015-08-23,58,66.99,63.69,67.55,62.51,7.63,2.31%
4,2015-08-30,58,65.18,66.67,67.7,64.65,4.17,-2.70%
5,2015-09-06,58,65.61,65.64,67.7,65.13,2.78,0.66%
6,2015-09-13,55,70.17,65.6,71.43,64.9,8.53,6.95%
7,2015-09-20,52,71.38,69.94,71.57,67.83,5.64,1.72%
8,2015-09-27,53,71.8,71.25,73.08,69.91,4.69,0.59%
9,2015-10-04,55,76.3,73.0,76.47,72.72,5.65,6.27%
10,2015-10-11,53,76.65,76.5,77.84,74.38,6.46,0.46%
11,2015-10-18,53,81.41,76.18,82.08,76.08,6.67,6.21%
12,2015-10-25,50,81.55,81.5,83.49,81.07,5.28,0.17%
13,2015-11-01,54,88.01,81.0,89.77,79.62,10.5,7.92%
14,2015-11-08,55,85.75,87.24,91.48,85.13,6.58,-2.57%
15,2015-11-15,53,88.09,84.5,88.47,83.54,4.79,2.73%
16,2015-11-22,63,89.47,88.08,90.5,86.57,3.87,1.57%
17,2015-11-29,61,90.91,89.52,94.5,89.1,6.84,1.61%
18,2015-12-06,63,86.55,91.7,93.88,85.85,5.0,-4.80%
19,2015-12-13,67,89.03,86.57,91.43,85.77,5.77,2.87%
20,2015-12-20,69,90.18,88.62,90.65,87.12,2.0,1.29%
21,2015-12-27,66,89.91,89.97,91.51,88.57,1.38,-0.30%
22,2016-01-03,63,83.45,88.12,88.99,83.23,5.27,-7.18%
23,2016-01-10,59,84.01,82.68,87.43,82.09,5.61,0.67%
24,2016-01-17,64,91.28,83.95,94.22,83.9,11.86,8.65%
25,2016-01-24,63,94.98,91.3,95.21,90.06,5.67,4.05%
26,2016-01-31,64,90.21,95.0,96.09,90.05,5.69,-5.02%
27,2016-02-07,64,88.14,90.62,91.15,84.77,7.96,-2.29%
28,2016-02-14,69,99.34,90.0,99.9,89.85,5.7,12.71%
29,2016-02-21,66,98.9,100.0,100.65,95.48,4.38,-0.44%
30,2016-02-28,69,97.43,98.11,101.7,96.82,4.48,-1.49%
31,2016-03-06,68,99.67,98.0,100.1,95.17,4.75,2.30%
32,2016-03-13,75,100.2,100.5,103.05,99.23,5.24,0.53%
33,2016-03-20,76,102.45,99.66,103.2,98.13,2.21,2.25%
