,Date,Kaney West Adidas,Price,Open,High,Low,Vol.,Change %
0,2020-01-05,7,17.8,17.34,18.5,17.2,31.75M,2.06%
1,2020-01-12,9,18.53,17.8,18.92,17.59,28.90M,4.10%
2,2020-01-19,11,17.66,18.53,18.53,17.47,18.21M,-4.70%
3,2020-01-26,6,17.41,17.34,18.48,17.16,23.60M,-1.42%
4,2020-02-02,15,17.85,17.45,18.99,17.23,23.28M,2.53%
5,2020-02-09,6,18.14,17.87,18.5,17.51,21.85M,1.62%
6,2020-02-16,10,17.06,18.09,18.09,16.98,17.86M,-5.95%
7,2020-02-23,11,14.33,16.41,16.61,13.47,48.13M,-16.00%
8,2020-03-01,11,13.19,14.36,14.68,12.63,44.43M,-7.96%
9,2020-03-08,7,10.81,12.29,12.69,9.35,62.94M,-18.04%
10,2020-03-15,6,7.22,9.32,9.77,6.79,71.90M,-33.21%
11,2020-03-22,10,7.79,7.13,9.69,6.04,56.63M,7.89%
12,2020-03-29,6,5.65,7.65,7.67,5.26,64.91M,-27.47%
13,2020-04-05,6,9.09,6.22,9.39,6.11,66.48M,60.88%
14,2020-04-12,7,8.35,9.16,9.32,7.41,48.79M,-8.14%
15,2020-04-19,9,6.9,8.02,8.29,6.59,50.08M,-17.37%
16,2020-04-26,11,7.83,6.94,9.37,6.85,68.43M,13.48%
17,2020-05-03,4,8.1,7.5,8.44,7.11,53.61M,3.45%
18,2020-05-10,8,7.6,7.94,8.01,6.53,53.77M,-6.17%
19,2020-05-17,6,8.21,8.03,8.6,7.19,70.15M,8.03%
20,2020-05-24,7,8.9,8.88,10.8,8.68,76.37M,8.40%
21,2020-05-31,8,12.31,9.38,12.82,9.33,109.39M,38.31%
22,2020-06-07,7,10.54,12.57,13.75,9.66,93.26M,-14.38%
23,2020-06-14,5,10.66,9.8,11.73,9.63,71.83M,1.14%
24,2020-06-21,5,12.07,11.15,14.45,9.95,190.20M,13.23%
25,2020-06-28,5,12.28,12.89,13.24,12.03,87.45M,1.74%
26,2020-07-05,100,11.65,12.62,12.79,11.51,66.67M,-5.13%
27,2020-07-12,25,12.89,11.66,13.26,10.81,68.13M,10.64%
28,2020-07-19,76,12.62,12.64,13.33,11.92,52.34M,-2.09%
29,2020-07-26,34,14.15,12.63,14.53,12.36,10.02M,12.12%
