,Date,Nike Colin Kaepernick,Price,Open,High,Low,Vol.,Change %
0,2018-01-07,2,64.67,64.15,64.72,63.44,35.93M,1.08%
1,2018-01-14,2,67.21,64.78,67.24,63.08,35.09M,3.93%
2,2018-01-21,2,68.04,66.55,68.64,65.76,34.32M,1.23%
3,2018-01-28,2,67.22,67.82,68.83,66.7,37.59M,-1.21%
4,2018-02-04,3,65.49,66.63,67.21,62.09,62.61M,-2.57%
5,2018-02-11,2,68.3,65.94,69.0,65.43,42.23M,4.29%
6,2018-02-18,1,68.16,67.64,68.16,66.74,20.91M,-0.20%
7,2018-02-25,1,65.89,68.39,70.25,64.21,35.14M,-3.33%
8,2018-03-04,1,66.3,65.48,66.51,63.89,33.26M,0.62%
9,2018-03-11,2,65.91,66.65,67.69,65.67,37.28M,-0.59%
10,2018-03-18,2,64.63,65.7,67.22,64.23,49.62M,-1.94%
11,2018-03-25,2,66.44,65.08,67.64,64.99,38.21M,2.80%
12,2018-04-01,4,67.55,65.97,69.78,63.21,50.24M,1.67%
13,2018-04-08,4,67.25,68.39,68.55,66.49,31.52M,-0.44%
14,2018-04-15,2,66.09,67.81,67.98,64.99,38.15M,-1.72%
15,2018-04-22,3,69.56,66.0,70.0,65.95,32.87M,5.25%
16,2018-04-29,2,68.1,69.58,69.81,66.64,28.48M,-2.10%
17,2018-05-06,2,68.43,68.06,69.42,67.0,28.64M,0.48%
18,2018-05-13,1,71.32,68.6,71.6,68.11,29.94M,4.22%
19,2018-05-20,3,72.25,71.48,73.49,70.71,29.47M,1.30%
20,2018-05-27,3,72.76,71.52,72.95,70.43,23.60M,0.71%
21,2018-06-03,3,74.9,73.0,75.91,72.79,27.20M,2.94%
22,2018-06-10,1,75.84,75.06,75.85,73.99,29.57M,1.25%
23,2018-06-17,1,73.43,75.28,75.76,73.21,31.64M,-3.18%
24,2018-06-24,1,79.68,73.32,81.0,71.15,64.30M,8.51%
25,2018-07-01,1,76.48,78.58,79.48,76.07,30.13M,-4.02%
26,2018-07-08,1,77.38,76.84,78.18,76.34,22.65M,1.18%
27,2018-07-15,1,76.96,77.36,78.09,75.8,25.34M,-0.54%
28,2018-07-22,1,76.89,76.71,78.44,75.06,28.71M,-0.09%
29,2018-07-29,3,78.74,76.88,79.07,75.43,31.50M,2.41%
30,2018-08-05,3,80.73,78.74,81.88,78.43,24.62M,2.53%
31,2018-08-12,3,79.75,80.82,81.14,79.12,29.72M,-1.21%
32,2018-08-19,2,82.45,81.52,83.68,80.95,27.60M,3.39%
33,2018-08-26,3,82.2,83.04,83.63,81.01,25.81M,-0.30%
34,2018-09-02,100,80.3,79.39,81.16,79.0,46.05M,-2.31%
35,2018-09-09,28,83.49,81.39,83.9,81.22,29.78M,3.97%
36,2018-09-16,10,85.55,83.49,86.04,82.94,40.66M,2.47%
37,2018-09-23,8,84.72,85.16,85.27,81.95,49.18M,-0.97%
38,2018-09-30,4,80.12,85.1,85.85,79.43,42.55M,-5.43%
39,2018-10-07,4,75.91,80.04,81.49,73.9,50.61M,-5.25%
40,2018-10-14,6,74.21,75.77,77.8,74.14,35.27M,-2.24%
41,2018-10-21,5,72.07,74.65,75.21,70.69,42.82M,-2.88%
42,2018-10-28,3,76.58,73.26,78.59,71.39,41.21M,6.26%
43,2018-11-04,3,76.36,76.49,78.23,75.53,29.13M,-0.29%
44,2018-11-11,2,74.74,76.35,77.49,72.89,33.70M,-2.12%
45,2018-11-18,3,71.49,74.69,74.75,69.52,25.71M,-4.35%
46,2018-11-25,3,75.12,72.34,75.48,71.3,31.02M,5.08%
47,2018-12-02,5,73.34,77.1,79.0,72.87,34.84M,-2.37%
48,2018-12-09,3,72.53,73.1,75.28,70.61,36.66M,-1.10%
49,2018-12-16,3,72.37,71.37,74.29,66.53,69.58M,-0.22%
50,2018-12-23,2,73.34,71.4,74.46,68.08,33.77M,1.34%
51,2018-12-30,2,74.65,73.98,75.12,71.21,28.13M,1.79%
