,Date,Nike,Adidas
0,2015-08-02,51,27
1,2015-08-09,52,27
2,2015-08-16,52,29
3,2015-08-23,53,29
4,2015-08-30,52,29
5,2015-09-06,51,29
6,2015-09-13,49,27
7,2015-09-20,48,26
8,2015-09-27,47,27
9,2015-10-04,48,27
10,2015-10-11,48,26
11,2015-10-18,53,25
12,2015-10-25,47,25
13,2015-11-01,48,27
14,2015-11-08,48,28
15,2015-11-15,49,27
16,2015-11-22,59,31
17,2015-11-29,58,31
18,2015-12-06,58,31
19,2015-12-13,58,33
20,2015-12-20,59,34
21,2015-12-27,54,32
22,2016-01-03,53,31
23,2016-01-10,49,30
24,2016-01-17,49,31
25,2016-01-24,49,32
26,2016-01-31,50,32
27,2016-02-07,52,32
28,2016-02-14,52,35
29,2016-02-21,52,33
30,2016-02-28,53,34
31,2016-03-06,54,34
32,2016-03-13,56,37
33,2016-03-20,58,39
34,2016-03-27,56,37
35,2016-04-03,55,37
36,2016-04-10,55,37
37,2016-04-17,52,36
38,2016-04-24,52,35
39,2016-05-01,51,35
40,2016-05-08,49,33
41,2016-05-15,51,35
42,2016-05-22,50,34
43,2016-05-29,51,35
44,2016-06-05,50,35
45,2016-06-12,49,34
46,2016-06-19,51,36
47,2016-06-26,50,37
48,2016-07-03,51,37
49,2016-07-10,48,35
50,2016-07-17,49,34
51,2016-07-24,50,35
52,2016-07-31,53,36
53,2016-08-07,52,35
54,2016-08-14,52,37
55,2016-08-21,51,37
56,2016-08-28,51,38
57,2016-09-04,50,36
58,2016-09-11,47,36
59,2016-09-18,47,36
60,2016-09-25,47,36
61,2016-10-02,49,36
62,2016-10-09,50,36
63,2016-10-16,45,34
64,2016-10-23,44,32
65,2016-10-30,46,33
66,2016-11-06,47,33
67,2016-11-13,49,36
68,2016-11-20,61,45
69,2016-11-27,58,42
70,2016-12-04,56,40
71,2016-12-11,56,41
72,2016-12-18,53,40
73,2016-12-25,53,40
74,2017-01-01,46,36
75,2017-01-08,47,36
76,2017-01-15,46,34
77,2017-01-22,45,35
78,2017-01-29,45,35
79,2017-02-05,45,36
80,2017-02-12,44,34
81,2017-02-19,48,37
82,2017-02-26,50,38
83,2017-03-05,50,37
84,2017-03-12,49,37
85,2017-03-19,51,38
86,2017-03-26,54,39
87,2017-04-02,51,39
88,2017-04-09,49,38
89,2017-04-16,45,35
90,2017-04-23,47,37
91,2017-04-30,46,37
92,2017-05-07,45,34
93,2017-05-14,45,33
94,2017-05-21,44,32
95,2017-05-28,45,33
96,2017-06-04,45,33
97,2017-06-11,45,34
98,2017-06-18,44,35
99,2017-06-25,47,35
100,2017-07-02,48,35
101,2017-07-09,47,35
102,2017-07-16,48,35
103,2017-07-23,49,36
104,2017-07-30,51,36
105,2017-08-06,51,38
106,2017-08-13,50,36
107,2017-08-20,51,36
108,2017-08-27,51,38
109,2017-09-03,51,36
110,2017-09-10,48,34
111,2017-09-17,47,34
112,2017-09-24,46,34
113,2017-10-01,47,34
114,2017-10-08,47,33
115,2017-10-15,46,32
116,2017-10-22,47,32
117,2017-10-29,46,33
118,2017-11-05,50,35
119,2017-11-12,50,36
120,2017-11-19,67,49
121,2017-11-26,58,42
122,2017-12-03,55,38
123,2017-12-10,54,41
124,2017-12-17,55,38
125,2017-12-24,57,40
126,2017-12-31,47,33
127,2018-01-07,48,36
128,2018-01-14,47,34
129,2018-01-21,47,33
130,2018-01-28,47,34
131,2018-02-04,47,33
132,2018-02-11,47,32
133,2018-02-18,49,34
134,2018-02-25,50,32
135,2018-03-04,49,33
136,2018-03-11,50,35
137,2018-03-18,51,35
138,2018-03-25,53,37
139,2018-04-01,51,36
140,2018-04-08,51,36
141,2018-04-15,49,34
142,2018-04-22,48,34
143,2018-04-29,48,34
144,2018-05-06,48,33
145,2018-05-13,46,31
146,2018-05-20,46,31
147,2018-05-27,48,33
148,2018-06-03,48,33
149,2018-06-10,50,34
150,2018-06-17,46,34
151,2018-06-24,46,36
152,2018-07-01,47,35
153,2018-07-08,51,35
154,2018-07-15,54,35
155,2018-07-22,52,35
156,2018-07-29,53,35
157,2018-08-05,54,34
158,2018-08-12,54,34
159,2018-08-19,51,34
160,2018-08-26,51,34
161,2018-09-02,100,35
162,2018-09-09,59,33
163,2018-09-16,50,34
164,2018-09-23,50,33
165,2018-09-30,49,31
166,2018-10-07,47,30
167,2018-10-14,48,31
168,2018-10-21,45,30
169,2018-10-28,46,30
170,2018-11-04,48,31
171,2018-11-11,51,32
172,2018-11-18,69,44
173,2018-11-25,59,37
174,2018-12-02,56,34
175,2018-12-09,60,35
176,2018-12-16,59,34
177,2018-12-23,59,37
178,2018-12-30,49,30
179,2019-01-06,50,31
180,2019-01-13,51,30
181,2019-01-20,48,29
182,2019-01-27,48,30
183,2019-02-03,50,29
184,2019-02-10,49,29
185,2019-02-17,54,30
186,2019-02-24,53,31
187,2019-03-03,53,32
188,2019-03-10,52,32
189,2019-03-17,54,34
190,2019-03-24,56,35
191,2019-03-31,55,33
192,2019-04-07,54,33
193,2019-04-14,53,32
194,2019-04-21,50,31
195,2019-04-28,53,31
196,2019-05-05,51,30
197,2019-05-12,50,31
198,2019-05-19,51,32
199,2019-05-26,53,32
200,2019-06-02,52,35
201,2019-06-09,51,31
202,2019-06-16,49,32
203,2019-06-23,50,31
204,2019-06-30,56,32
205,2019-07-07,53,32
206,2019-07-14,54,33
