,Date,Google trends,Price,Open,High,Low,Vol.,Change %
0,2015-08-02,51,57.26,57.76,58.86,56.55,29.19,-0.61%
1,2015-08-09,52,57.18,57.7,58.09,55.33,27.49,-0.14%
2,2015-08-16,51,53.44,57.06,58.02,53.42,36.26,-6.54%
3,2015-08-23,52,56.25,50.13,56.5,47.25,69.8,5.26%
4,2015-08-30,51,54.84,56.2,56.24,54.02,38.19,-2.51%
5,2015-09-06,50,55.91,55.73,56.49,54.47,24.81,1.95%
6,2015-09-13,47,57.52,55.76,58.4,55.4,49.31,2.88%
7,2015-09-20,47,62.5,57.84,62.98,56.75,76.68,8.66%
8,2015-09-27,46,62.6,62.25,62.6,59.52,58.41,0.16%
9,2015-10-04,47,62.47,62.92,63.24,60.5,42.1,-0.21%
10,2015-10-11,47,65.23,62.6,65.3,62.51,38.4,4.42%
11,2015-10-18,52,65.27,65.86,66.76,64.45,47.01,0.06%
12,2015-10-25,45,65.52,65.14,66.11,64.83,32.31,0.38%
13,2015-11-01,47,65.89,65.86,66.47,64.73,26.71,0.56%
14,2015-11-08,47,60.93,65.62,65.71,60.58,45.81,-7.53%
15,2015-11-15,48,66.33,60.9,66.4,60.21,57.95,8.86%
16,2015-11-22,58,67.17,66.41,67.65,65.63,23.96,1.27%
17,2015-11-29,56,66.17,66.97,67.09,64.5,41.62,-1.49%
18,2015-12-06,57,63.15,66.38,66.45,62.84,33.2,-4.56%
19,2015-12-13,57,64.26,63.31,65.92,63.06,43.61,1.76%
20,2015-12-20,57,63.18,64.84,68.19,62.15,97.4,-1.68%
21,2015-12-27,52,62.5,63.21,64.48,62.5,27.77,-1.08%
22,2016-01-03,50,58.87,61.11,62.59,58.66,49.47,-5.81%
23,2016-01-10,48,57.56,58.97,60.82,56.59,53.26,-2.23%
24,2016-01-17,47,60.88,58.19,61.47,56.75,50.71,5.77%
25,2016-01-24,48,62.01,61.09,62.16,59.2,47.66,1.86%
26,2016-01-31,49,57.17,61.75,63.5,56.98,49.79,-7.81%
27,2016-02-07,51,56.42,56.1,58.18,53.64,68.83,-1.31%
28,2016-02-14,50,59.31,57.57,59.31,56.82,38.13,5.12%
29,2016-02-21,51,62.6,59.65,63.49,59.2,46.84,5.55%
30,2016-02-28,52,61.26,62.46,63.1,60.38,38.83,-2.14%
31,2016-03-06,52,60.08,61.07,61.14,57.95,53.14,-1.93%
32,2016-03-13,54,62.99,60.19,63.98,60.1,43.42,4.84%
33,2016-03-20,57,61.65,63.55,65.44,61.12,71.07,-2.13%
34,2016-03-27,54,61.59,61.58,62.64,61.15,39.41,-0.10%
35,2016-04-03,54,59.42,61.73,61.85,59.19,50.13,-3.52%
36,2016-04-10,53,59.5,59.73,60.34,56.89,51.13,0.13%
37,2016-04-17,50,59.43,59.38,60.53,58.97,35.3,-0.12%
38,2016-04-24,51,58.94,59.34,59.97,58.1,34.0,-0.82%
39,2016-05-01,50,58.43,59.09,59.96,57.38,39.93,-0.87%
40,2016-05-08,49,57.31,58.59,59.99,56.85,41.5,-1.92%
41,2016-05-15,49,56.48,57.27,57.53,55.41,50.32,-1.45%
42,2016-05-22,49,56.19,56.6,56.97,55.6,46.39,-0.51%
43,2016-05-29,49,53.45,56.41,56.47,52.92,73.81,-4.88%
44,2016-06-05,48,55.11,53.77,55.36,53.55,63.0,3.11%
45,2016-06-12,47,53.71,55.0,55.64,52.94,51.13,-2.54%
46,2016-06-19,49,52.59,54.23,55.18,52.18,53.43,-2.09%
47,2016-06-26,49,55.61,52.0,55.81,51.48,98.93,5.74%
48,2016-07-03,50,56.72,55.34,56.82,54.82,33.71,2.00%
49,2016-07-10,47,57.87,56.83,58.87,56.71,45.13,2.03%
50,2016-07-17,47,56.73,58.0,58.16,56.42,36.73,-1.97%
51,2016-07-24,49,55.5,56.87,57.87,54.98,42.03,-2.17%
52,2016-07-31,51,55.85,55.73,56.06,54.28,39.29,0.63%
53,2016-08-07,50,56.45,56.13,56.89,55.07,36.17,1.07%
54,2016-08-14,50,58.9,56.65,59.14,56.42,39.11,4.34%
55,2016-08-21,49,59.0,58.82,60.33,58.3,46.58,0.17%
56,2016-08-28,49,58.02,59.2,59.25,57.19,35.06,-1.66%
57,2016-09-04,48,55.33,58.25,58.38,55.27,41.36,-4.64%
58,2016-09-11,45,55.18,55.0,56.12,54.81,40.48,-0.27%
59,2016-09-18,45,55.15,55.38,55.98,54.61,41.25,-0.05%
60,2016-09-25,47,52.65,54.8,55.54,52.12,92.72,-4.53%
61,2016-10-02,48,51.79,52.54,53.06,51.68,43.41,-1.63%
62,2016-10-09,47,51.62,52.13,52.71,51.5,39.53,-0.33%
63,2016-10-16,44,51.77,51.65,52.36,50.96,37.46,0.29%
64,2016-10-23,43,52.02,52.16,52.5,50.71,51.99,0.48%
65,2016-10-30,44,49.96,50.88,51.15,49.01,60.41,-3.96%
66,2016-11-06,46,50.77,50.48,51.49,49.8,44.15,1.62%
67,2016-11-13,48,51.1,51.18,51.89,49.75,39.26,0.65%
68,2016-11-20,59,51.52,51.0,51.85,50.95,17.47,0.82%
69,2016-11-27,56,50.46,51.44,51.44,50.06,37.41,-2.06%
70,2016-12-04,55,51.72,50.8,52.47,50.26,50.07,2.50%
71,2016-12-11,55,50.92,51.5,53.22,50.67,54.47,-1.55%
72,2016-12-18,53,51.91,50.91,53.35,50.48,69.83,1.94%
73,2016-12-25,51,50.83,51.8,52.25,50.7,26.56,-2.08%
74,2017-01-01,45,53.91,51.99,54.09,51.77,48.27,6.06%
75,2017-01-08,45,52.92,53.96,53.99,52.16,39.15,-1.84%
76,2017-01-15,45,53.2,53.4,53.95,52.86,32.81,0.53%
77,2017-01-22,44,53.19,53.02,54.12,52.72,33.59,-0.02%
78,2017-01-29,44,52.36,52.78,53.26,51.63,47.65,-1.56%
79,2017-02-05,43,56.22,52.09,56.47,52.05,52.4,7.37%
80,2017-02-12,43,56.75,56.17,56.92,55.75,44.24,0.94%
81,2017-02-19,46,57.86,56.38,58.42,56.2,43.87,1.96%
82,2017-02-26,48,56.7,57.65,58.25,56.51,36.52,-2.00%
83,2017-03-05,49,56.43,56.7,56.99,56.02,36.67,-0.48%
84,2017-03-12,48,57.8,56.4,58.01,56.11,47.28,2.43%
85,2017-03-19,49,56.36,58.0,59.0,53.76,104.32,-2.49%
86,2017-03-26,53,55.73,55.64,57.1,55.54,37.06,-1.12%
87,2017-04-02,49,55.11,55.74,55.94,54.5,36.42,-1.11%
88,2017-04-09,49,55.34,55.0,55.62,54.5,23.61,0.42%
89,2017-04-16,45,55.85,55.32,56.69,55.25,32.21,0.92%
90,2017-04-23,46,55.41,56.14,56.21,54.91,45.68,-0.79%
91,2017-04-30,46,53.95,55.43,55.45,53.56,41.93,-2.63%
92,2017-05-07,44,54.2,54.18,55.08,53.4,33.1,0.46%
93,2017-05-14,44,51.77,54.12,54.2,50.81,83.73,-4.48%
94,2017-05-21,42,52.59,51.77,52.76,51.4,47.71,1.58%
95,2017-05-28,44,52.98,52.76,53.3,52.21,48.84,0.74%
96,2017-06-04,44,53.46,53.0,54.14,52.43,38.24,0.91%
97,2017-06-11,43,51.1,53.51,54.67,50.79,66.45,-4.41%
98,2017-06-18,43,52.85,51.42,52.91,51.1,54.15,3.42%
99,2017-06-25,46,59.0,52.95,59.71,52.64,84.72,11.64%
100,2017-07-02,47,57.98,58.37,59.01,57.0,43.26,-1.73%
101,2017-07-09,45,58.0,57.89,58.93,57.64,37.86,0.03%
102,2017-07-16,46,59.95,58.0,60.0,57.39,39.22,3.36%
103,2017-07-23,47,58.67,59.69,59.77,57.97,31.56,-2.14%
104,2017-07-30,50,59.76,58.71,60.53,58.33,29.53,1.86%
105,2017-08-06,51,58.97,59.82,60.12,58.59,25.53,-1.32%
106,2017-08-13,48,54.95,59.15,60.0,54.17,52.36,-6.82%
107,2017-08-20,49,53.9,54.44,54.44,53.1,40.79,-1.91%
108,2017-08-27,50,53.36,54.07,54.43,52.06,38.48,-1.00%
109,2017-09-03,50,52.2,53.25,53.47,52.11,29.57,-2.17%
110,2017-09-10,46,53.87,52.38,54.09,52.32,40.1,3.20%
111,2017-09-17,45,53.24,53.87,54.16,52.51,48.96,-1.17%
112,2017-09-24,46,51.85,53.08,53.97,51.03,88.17,-2.61%
113,2017-10-01,46,52.42,52.16,52.46,51.4,34.49,1.10%
114,2017-10-08,46,50.98,52.23,52.3,50.35,51.24,-2.75%
115,2017-10-15,45,53.06,50.8,53.5,50.64,55.27,4.08%
116,2017-10-22,45,55.96,53.06,57.25,52.67,86.8,5.47%
117,2017-10-29,45,55.71,55.71,55.93,54.52,44.21,-0.45%
118,2017-11-05,48,56.09,55.29,56.49,54.89,42.68,0.68%
119,2017-11-12,48,59.19,55.66,59.53,55.08,45.46,5.53%
120,2017-11-19,65,59.32,58.63,59.5,57.98,29.44,0.22%
121,2017-11-26,57,59.88,59.2,61.21,58.54,51.24,0.94%
122,2017-12-03,54,61.3,60.27,61.37,59.65,36.42,2.37%
123,2017-12-10,54,64.79,61.37,65.07,61.3,61.16,5.69%
124,2017-12-17,54,63.29,64.93,65.19,60.13,68.1,-2.32%
125,2017-12-24,55,62.55,62.9,63.89,62.55,22.73,-1.17%
126,2017-12-31,45,63.98,62.85,64.3,62.55,30.01,2.29%
127,2018-01-07,47,64.67,64.15,64.72,63.44,35.93,1.08%
128,2018-01-14,45,67.21,64.78,67.24,63.08,35.09,3.93%
129,2018-01-21,46,68.04,66.55,68.64,65.76,34.32,1.23%
130,2018-01-28,46,67.22,67.82,68.83,66.7,37.59,-1.21%
131,2018-02-04,46,65.49,66.63,67.21,62.09,62.61,-2.57%
132,2018-02-11,45,68.3,65.94,69.0,65.43,42.23,4.29%
133,2018-02-18,49,68.16,67.64,68.16,66.74,20.91,-0.20%
134,2018-02-25,48,65.89,68.39,70.25,64.21,35.14,-3.33%
135,2018-03-04,48,66.3,65.48,66.51,63.89,33.26,0.62%
136,2018-03-11,49,65.91,66.65,67.69,65.67,37.28,-0.59%
137,2018-03-18,50,64.63,65.7,67.22,64.23,49.62,-1.94%
138,2018-03-25,53,66.44,65.08,67.64,64.99,38.21,2.80%
139,2018-04-01,50,67.55,65.97,69.78,63.21,50.24,1.67%
140,2018-04-08,49,67.25,68.39,68.55,66.49,31.52,-0.44%
141,2018-04-15,48,66.09,67.81,67.98,64.99,38.15,-1.72%
142,2018-04-22,46,69.56,66.0,70.0,65.95,32.87,5.25%
143,2018-04-29,47,68.1,69.58,69.81,66.64,28.48,-2.10%
144,2018-05-06,46,68.43,68.06,69.42,67.0,28.64,0.48%
145,2018-05-13,44,71.32,68.6,71.6,68.11,29.94,4.22%
