"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 26, 2020","243.70","238.90","245.00","234.80","-","1.86%"
"Jul 19, 2020","239.25","238.50","249.20","235.60","-","1.10%"
"Jul 12, 2020","236.65","239.60","243.90","232.60","-","0.45%"
"Jul 05, 2020","235.60","247.90","248.90","232.00","-","-2.44%"
"Jun 28, 2020","241.50","231.90","246.00","229.00","-","3.87%"
"Jun 21, 2020","232.50","234.50","245.09","232.00","-","-2.92%"
"Jun 14, 2020","239.50","224.40","244.90","222.80","-","3.99%"
"Jun 07, 2020","230.30","262.00","262.00","228.80","-","-12.95%"
"May 31, 2020","264.55","242.30","265.30","239.00","-","11.25%"
"May 24, 2020","237.80","224.70","239.90","224.20","-","9.53%"
"May 17, 2020","217.10","203.90","221.19","203.30","-","8.67%"
"May 10, 2020","199.78","209.90","210.83","189.50","-","-4.75%"
"May 03, 2020","209.75","203.50","210.50","193.05","-","0.36%"
"Apr 26, 2020","209.00","197.55","217.30","197.55","-","1.53%"
"Apr 19, 2020","205.85","221.60","222.70","202.30","-","-5.68%"
"Apr 12, 2020","218.25","228.30","228.80","209.70","-","-2.74%"
"Apr 05, 2020","224.40","195.95","225.80","193.50","-","19.11%"
"Mar 29, 2020","188.40","209.85","215.90","188.00","-","-9.45%"
"Mar 22, 2020","208.07","182.94","214.90","178.76","-","8.95%"
"Mar 15, 2020","190.97","163.36","195.50","74.49","-","11.66%"
"Mar 08, 2020","171.03","213.75","241.05","166.58","-","-29.02%"
"Mar 01, 2020","240.95","253.95","258.10","237.95","-","-3.17%"
"Feb 23, 2020","248.85","273.70","282.45","243.65","-","-11.38%"
"Feb 16, 2020","280.80","289.55","294.40","277.00","-","-2.74%"
"Feb 09, 2020","288.70","287.95","291.30","283.85","-","-0.16%"
"Feb 02, 2020","289.15","286.20","294.70","281.85","-","0.98%"
"Jan 26, 2020","286.35","307.65","313.00","286.00","-","-8.87%"
"Jan 19, 2020","314.23","311.85","316.17","306.32","-","1.07%"
"Jan 12, 2020","310.90","310.77","317.35","308.38","-","0.18%"
"Jan 05, 2020","310.35","289.02","311.69","285.45","-","7.00%"
