"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2020","239.10","238.00","249.50","235.00","2.25M","0.55%"
"Jul 12, 2020","237.80","239.60","244.10","232.50","2.75M","0.93%"
"Jul 05, 2020","235.60","247.90","249.10","231.70","2.77M","-2.40%"
"Jun 28, 2020","241.40","231.90","246.00","228.80","3.24M","3.61%"
"Jun 21, 2020","233.00","235.00","245.00","232.00","3.09M","-1.94%"
"Jun 14, 2020","237.60","224.10","245.30","222.50","4.71M","3.26%"
"Jun 07, 2020","230.10","261.90","261.90","228.80","5.31M","-13.01%"
"May 31, 2020","264.50","241.30","265.60","239.00","5.23M","11.51%"
"May 24, 2020","237.20","220.30","240.00","218.40","5.49M","8.91%"
"May 17, 2020","217.80","203.30","221.40","203.30","4.61M","8.74%"
"May 10, 2020","200.30","209.90","210.50","189.40","3.90M","-3.66%"
"May 03, 2020","207.90","203.00","212.80","193.05","5.04M","-0.62%"
"Apr 26, 2020","209.20","198.25","217.80","197.20","4.83M","1.85%"
"Apr 19, 2020","205.40","220.40","222.80","202.20","4.32M","-6.08%"
"Apr 12, 2020","218.70","227.80","229.00","209.60","3.89M","-2.50%"
"Apr 05, 2020","224.30","195.50","226.00","193.35","4.34M","18.96%"
"Mar 29, 2020","188.55","209.15","216.10","188.00","5.25M","-9.76%"
"Mar 22, 2020","208.95","182.76","214.90","178.62","8.40M","9.11%"
"Mar 15, 2020","191.50","164.22","195.58","162.20","12.54M","11.38%"
"Mar 08, 2020","171.94","213.00","234.90","165.86","15.77M","-28.67%"
"Mar 01, 2020","241.05","253.05","258.05","237.70","5.60M","-3.79%"
"Feb 23, 2020","250.55","273.90","274.25","243.50","7.52M","-11.29%"
"Feb 16, 2020","282.45","289.20","294.65","276.00","3.40M","-2.06%"
"Feb 09, 2020","288.40","287.15","291.35","283.70","2.90M","-0.24%"
"Feb 02, 2020","289.10","285.75","294.75","281.80","3.65M","1.15%"
"Jan 26, 2020","285.80","307.00","308.00","285.80","3.56M","-8.69%"
"Jan 19, 2020","313.00","311.60","316.15","306.20","2.10M","0.43%"
"Jan 12, 2020","311.65","310.35","317.45","308.20","2.68M","0.84%"
"Jan 05, 2020","309.05","288.95","311.85","285.15","2.90M","5.86%"
"Dec 29, 2019","291.95","291.30","293.25","288.35","1.09M","-0.19%"
"Dec 22, 2019","292.50","292.30","294.95","290.55","676.43K","0.36%"
"Dec 15, 2019","291.45","279.95","291.95","279.10","3.82M","4.61%"
"Dec 08, 2019","278.60","278.15","283.00","268.75","2.86M","-0.21%"
"Dec 01, 2019","279.20","284.00","288.30","273.90","3.05M","-1.26%"
"Nov 24, 2019","282.75","274.85","286.75","273.55","2.42M","3.57%"
"Nov 17, 2019","273.00","271.55","276.35","267.90","2.38M","2.08%"
"Nov 10, 2019","267.45","271.65","272.15","264.15","2.80M","-1.67%"
"Nov 03, 2019","272.00","280.90","287.35","266.30","4.93M","-2.86%"
"Oct 27, 2019","280.00","274.60","280.95","271.25","2.30M","1.76%"
"Oct 20, 2019","275.15","281.75","282.80","270.30","2.47M","-2.20%"
"Oct 13, 2019","281.35","278.45","288.30","277.85","2.63M","0.41%"
"Oct 06, 2019","280.20","270.25","281.45","269.60","2.69M","3.17%"
"Sep 29, 2019","271.60","284.80","289.05","265.65","2.48M","-4.74%"
"Sep 22, 2019","285.10","273.80","285.70","269.05","2.72M","3.77%"
"Sep 15, 2019","274.75","272.00","277.00","266.85","2.99M","0.81%"
"Sep 08, 2019","272.55","279.50","280.25","266.35","2.74M","-2.28%"
"Sep 01, 2019","278.90","268.40","280.00","266.75","2.04M","3.41%"
"Aug 25, 2019","269.70","258.05","271.75","258.00","2.51M","3.81%"
"Aug 18, 2019","259.80","261.15","266.10","257.90","2.38M","0.81%"
"Aug 11, 2019","257.70","261.00","264.15","253.20","3.34M","-0.75%"
"Aug 04, 2019","259.65","275.00","277.60","254.00","5.32M","-7.07%"
"Jul 28, 2019","279.40","288.90","296.75","278.80","3.93M","-3.59%"
"Jul 21, 2019","289.80","279.00","289.80","278.55","2.61M","3.89%"
"Jul 14, 2019","278.95","277.35","283.15","275.80","2.22M","0.89%"
"Jul 07, 2019","276.50","276.05","283.15","275.45","2.10M","-0.23%"
"Jun 30, 2019","277.15","274.00","280.80","270.95","2.36M","2.08%"
"Jun 23, 2019","271.50","269.50","275.60","262.20","3.47M","1.00%"
"Jun 16, 2019","268.80","259.60","274.85","259.05","3.60M","3.15%"
"Jun 09, 2019","260.60","267.35","268.35","254.30","2.50M","-1.75%"
"Jun 02, 2019","265.25","254.75","266.35","254.30","2.67M","3.53%"
"May 26, 2019","256.20","261.00","265.05","251.40","2.49M","-1.18%"
"May 19, 2019","259.25","255.00","264.65","250.55","3.49M","1.47%"
"May 12, 2019","255.50","252.00","255.95","244.30","3.57M","1.39%"
"May 05, 2019","252.00","243.00","256.55","242.80","5.28M","0.88%"
"Apr 28, 2019","249.80","229.20","249.80","225.15","3.93M","8.99%"
"Apr 21, 2019","229.20","231.60","232.50","227.25","2.26M","-1.27%"
"Apr 14, 2019","232.15","225.05","232.20","224.25","2.35M","2.99%"
"Apr 07, 2019","225.40","227.60","227.95","223.80","2.61M","-0.94%"
"Mar 31, 2019","227.55","218.25","228.40","216.60","3.55M","5.06%"
"Mar 24, 2019","216.60","208.50","217.80","207.90","2.82M","3.19%"
"Mar 17, 2019","209.90","211.20","214.50","206.20","3.55M","-1.18%"
"Mar 10, 2019","212.40","211.60","215.60","197.25","7.09M","0.85%"
"Mar 03, 2019","210.60","217.40","219.80","209.30","3.55M","-2.45%"
"Feb 24, 2019","215.90","205.00","218.40","204.80","4.40M","5.78%"
"Feb 17, 2019","204.10","199.05","204.50","197.05","2.10M","2.49%"
"Feb 10, 2019","199.15","197.75","202.70","194.85","3.23M","0.40%"
"Feb 03, 2019","198.35","199.20","203.60","194.80","3.43M","-0.25%"
"Jan 27, 2019","198.85","202.90","207.70","197.55","3.43M","-2.52%"
"Jan 20, 2019","204.00","204.00","208.40","200.20","3.49M","0.00%"
"Jan 13, 2019","204.00","195.00","205.50","194.40","3.23M","3.55%"
"Jan 06, 2019","197.00","189.15","198.15","189.00","2.97M","3.11%"
"Dec 30, 2018","191.05","183.05","191.30","181.35","2.51M","4.74%"
"Dec 23, 2018","182.40","185.15","185.25","178.15","1.25M","-1.27%"
"Dec 16, 2018","184.75","192.75","194.00","179.15","6.50M","-5.50%"
"Dec 09, 2018","195.50","194.05","201.10","192.30","3.64M","0.03%"
"Dec 02, 2018","195.45","198.00","200.80","192.50","3.86M","0.33%"
"Nov 25, 2018","194.80","204.10","204.90","193.20","3.77M","-3.90%"
"Nov 18, 2018","202.70","205.40","205.70","195.60","3.24M","-0.98%"
"Nov 11, 2018","204.70","205.10","209.10","201.20","3.37M","0.39%"
"Nov 04, 2018","203.90","206.90","208.20","195.15","4.50M","-1.26%"
"Oct 28, 2018","206.50","204.80","209.60","201.30","4.16M","1.52%"
"Oct 21, 2018","203.40","205.10","207.60","196.55","4.43M","0.30%"
"Oct 14, 2018","202.80","192.50","205.20","192.05","3.85M","5.30%"
"Oct 07, 2018","192.60","206.30","207.30","189.50","4.46M","-7.31%"
"Sep 30, 2018","207.80","210.70","215.20","205.60","2.39M","-1.47%"
"Sep 23, 2018","210.90","209.90","211.80","207.20","2.80M","0.00%"
"Sep 16, 2018","210.90","209.40","211.60","206.80","3.48M","0.29%"
"Sep 09, 2018","210.30","207.60","211.50","203.80","2.62M","1.50%"
"Sep 02, 2018","207.20","214.10","217.20","204.90","3.02M","-3.58%"
"Aug 26, 2018","214.90","215.30","218.00","212.40","2.48M","0.56%"
"Aug 19, 2018","213.70","207.80","215.40","207.10","2.69M","3.24%"
"Aug 12, 2018","207.00","206.30","211.60","205.10","3.17M","0.63%"
"Aug 05, 2018","205.70","189.80","210.90","187.45","5.95M","8.49%"
"Jul 29, 2018","189.60","188.80","190.40","183.95","3.03M","0.21%"
"Jul 22, 2018","189.20","189.00","191.85","183.40","2.97M","-0.37%"
"Jul 15, 2018","189.90","187.95","191.30","183.90","3.18M","1.15%"
"Jul 08, 2018","187.75","182.50","188.55","181.30","3.05M","3.44%"
"Jul 01, 2018","181.50","184.55","187.25","180.50","3.22M","-2.92%"
"Jun 24, 2018","186.95","190.75","191.40","183.15","4.56M","-2.09%"
"Jun 17, 2018","190.95","199.35","199.35","187.35","4.22M","-4.45%"
"Jun 10, 2018","199.85","199.35","203.80","193.45","4.61M","0.25%"
"Jun 03, 2018","199.35","195.30","203.80","193.25","3.96M","3.21%"
"May 27, 2018","193.15","195.25","197.40","192.10","3.86M","-0.36%"
"May 20, 2018","193.85","195.05","198.80","191.15","3.64M","-0.62%"
"May 13, 2018","195.05","189.80","196.60","186.80","4.18M","2.90%"
"May 06, 2018","189.55","193.65","196.20","187.50","3.94M","-1.63%"
"Apr 29, 2018","192.70","204.50","207.80","190.70","5.51M","-5.77%"
"Apr 22, 2018","204.50","212.20","212.50","200.40","3.92M","-3.63%"
"Apr 15, 2018","212.20","210.70","215.50","209.20","3.28M","0.76%"
"Apr 08, 2018","210.60","205.00","211.40","201.00","3.43M","3.39%"
"Apr 01, 2018","203.70","195.00","204.80","193.05","3.84M","3.59%"
"Mar 25, 2018","196.65","196.45","198.40","189.70","3.32M","0.54%"
"Mar 18, 2018","195.60","194.00","200.30","192.00","5.49M","0.77%"
"Mar 11, 2018","194.10","175.00","196.60","168.25","9.80M","11.74%"
"Mar 04, 2018","173.70","171.05","179.75","170.85","3.76M","0.87%"
"Feb 25, 2018","172.20","182.80","185.60","171.60","4.21M","-5.28%"
"Feb 18, 2018","181.80","181.70","183.00","179.10","3.16M","0.86%"
