"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 26, 2020","14.15","12.63","14.53","12.36","10.02M","12.12%"
"Jul 19, 2020","12.62","12.64","13.33","11.92","52.34M","-2.09%"
"Jul 12, 2020","12.89","11.66","13.26","10.81","68.13M","10.64%"
"Jul 05, 2020","11.65","12.62","12.79","11.51","66.67M","-5.13%"
"Jun 28, 2020","12.28","12.89","13.24","12.03","87.45M","1.74%"
"Jun 21, 2020","12.07","11.15","14.45","9.95","190.20M","13.23%"
"Jun 14, 2020","10.66","9.80","11.73","9.63","71.83M","1.14%"
"Jun 07, 2020","10.54","12.57","13.75","9.66","93.26M","-14.38%"
"May 31, 2020","12.31","9.38","12.82","9.33","109.39M","38.31%"
"May 24, 2020","8.90","8.88","10.80","8.68","76.37M","8.40%"
"May 17, 2020","8.21","8.03","8.60","7.19","70.15M","8.03%"
"May 10, 2020","7.60","7.94","8.01","6.53","53.77M","-6.17%"
"May 03, 2020","8.10","7.50","8.44","7.11","53.61M","3.45%"
"Apr 26, 2020","7.83","6.94","9.37","6.85","68.43M","13.48%"
"Apr 19, 2020","6.90","8.02","8.29","6.59","50.08M","-17.37%"
"Apr 12, 2020","8.35","9.16","9.32","7.41","48.79M","-8.14%"
"Apr 05, 2020","9.09","6.22","9.39","6.11","66.48M","60.88%"
"Mar 29, 2020","5.65","7.65","7.67","5.26","64.91M","-27.47%"
"Mar 22, 2020","7.79","7.13","9.69","6.04","56.63M","7.89%"
"Mar 15, 2020","7.22","9.32","9.77","6.79","71.90M","-33.21%"
"Mar 08, 2020","10.81","12.29","12.69","9.35","62.94M","-18.04%"
"Mar 01, 2020","13.19","14.36","14.68","12.63","44.43M","-7.96%"
"Feb 23, 2020","14.33","16.41","16.61","13.47","48.13M","-16.00%"
"Feb 16, 2020","17.06","18.09","18.09","16.98","17.86M","-5.95%"
"Feb 09, 2020","18.14","17.87","18.50","17.51","21.85M","1.62%"
"Feb 02, 2020","17.85","17.45","18.99","17.23","23.28M","2.53%"
"Jan 26, 2020","17.41","17.34","18.48","17.16","23.60M","-1.42%"
"Jan 19, 2020","17.66","18.53","18.53","17.47","18.21M","-4.70%"
"Jan 12, 2020","18.53","17.80","18.92","17.59","28.90M","4.10%"
"Jan 05, 2020","17.80","17.34","18.50","17.20","31.75M","2.06%"
