"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 29, 2019","101.92","101.54","102.21","100.31","16.90M","0.34%"
"Dec 22, 2019","101.57","100.23","101.79","99.55","18.70M","1.61%"
"Dec 15, 2019","99.96","98.14","101.40","98.06","52.63M","2.24%"
"Dec 08, 2019","97.77","97.02","98.29","96.16","25.14M","0.79%"
"Dec 01, 2019","97.00","94.09","97.31","91.31","27.66M","3.75%"
"Nov 24, 2019","93.49","93.78","94.61","92.74","17.89M","0.16%"
"Nov 17, 2019","93.34","93.50","95.12","91.93","27.54M","0.32%"
"Nov 10, 2019","93.04","89.37","93.56","89.37","26.01M","3.60%"
"Nov 03, 2019","89.81","90.13","90.72","88.74","32.45M","0.71%"
"Oct 27, 2019","89.18","91.06","91.30","88.94","39.49M","-1.91%"
"Oct 20, 2019","90.92","96.61","96.87","90.75","43.13M","-5.39%"
"Oct 13, 2019","96.10","94.20","96.45","94.05","23.56M","2.36%"
"Oct 06, 2019","93.88","92.50","94.57","90.41","29.55M","0.87%"
"Sep 29, 2019","93.07","92.53","94.75","90.35","33.65M","0.82%"
"Sep 22, 2019","92.31","86.98","92.86","86.76","58.49M","6.50%"
"Sep 15, 2019","86.68","87.09","88.72","86.47","23.45M","-0.73%"
"Sep 08, 2019","87.32","88.94","89.35","85.87","25.93M","-1.54%"
"Sep 01, 2019","88.69","84.00","88.98","83.62","20.48M","4.96%"
"Aug 25, 2019","84.50","81.44","85.99","80.74","22.65M","5.05%"
"Aug 18, 2019","80.44","82.00","83.72","79.45","33.46M","0.20%"
"Aug 11, 2019","80.28","81.41","84.15","79.25","30.33M","-2.07%"
"Aug 04, 2019","81.98","79.66","83.43","78.19","35.10M","1.04%"
"Jul 28, 2019","81.14","87.65","87.91","80.79","30.40M","-7.31%"
"Jul 21, 2019","87.54","86.56","87.84","85.83","27.09M","1.14%"
"Jul 14, 2019","86.55","89.06","89.87","86.48","25.27M","-2.88%"
"Jul 07, 2019","89.12","86.06","89.31","85.97","27.44M","2.65%"
"Jun 30, 2019","86.82","84.93","86.91","84.22","24.25M","3.42%"
"Jun 23, 2019","83.95","86.00","86.85","82.16","45.10M","-2.10%"
"Jun 16, 2019","85.75","83.34","85.75","82.01","33.23M","2.77%"
"Jun 09, 2019","83.44","83.75","84.33","82.45","20.12M","0.04%"
"Jun 02, 2019","83.41","77.24","83.68","77.08","36.21M","8.13%"
"May 26, 2019","77.14","82.85","83.19","77.07","33.11M","-6.11%"
"May 19, 2019","82.16","83.80","83.80","81.99","33.89M","-2.85%"
"May 12, 2019","84.57","81.65","85.52","81.32","30.65M","0.74%"
"May 05, 2019","83.95","83.77","84.27","81.54","43.94M","-2.04%"
"Apr 28, 2019","85.70","88.18","88.50","84.98","32.76M","-2.96%"
"Apr 21, 2019","88.31","88.35","88.94","87.01","34.26M","-1.00%"
"Apr 14, 2019","89.20","86.89","90.00","86.44","22.40M","3.43%"
"Apr 07, 2019","86.24","85.01","86.49","83.97","21.81M","0.98%"
"Mar 31, 2019","85.40","85.04","86.16","84.16","26.28M","1.41%"
"Mar 24, 2019","84.21","81.48","84.85","80.89","44.18M","2.46%"
"Mar 17, 2019","82.19","87.30","88.59","82.15","52.43M","-5.31%"
"Mar 10, 2019","86.80","85.39","87.61","85.02","30.41M","2.36%"
"Mar 03, 2019","84.80","87.32","87.99","84.02","24.51M","-2.71%"
"Feb 24, 2019","87.16","85.39","87.99","84.96","28.80M","2.83%"
"Feb 17, 2019","84.76","84.58","85.05","83.35","24.57M","-0.73%"
"Feb 10, 2019","85.38","82.95","85.78","82.87","28.77M","3.67%"
"Feb 03, 2019","82.36","81.22","83.19","80.83","23.08M","1.04%"
"Jan 27, 2019","81.51","79.80","81.95","79.74","28.79M","1.12%"
"Jan 20, 2019","80.61","80.33","81.40","79.55","23.82M","0.20%"
"Jan 13, 2019","80.45","75.46","80.97","75.46","35.73M","5.80%"
"Jan 06, 2019","76.04","74.74","77.40","74.30","47.42M","1.86%"
